Started training.
is pre training: False | ep: 1830 | step: 91500 | avg reward: 5.3 | avg ep length: 50.0
is pre training: False | ep: 1840 | step: 92000 | avg reward: 4.9 | avg ep length: 50.0
is pre training: False | ep: 1850 | step: 92500 | avg reward: 4.3 | avg ep length: 50.0
is pre training: False | ep: 1860 | step: 93000 | avg reward: 3.4 | avg ep length: 50.0
is pre training: False | ep: 1870 | step: 93500 | avg reward: 5.0 | avg ep length: 50.0
is pre training: False | ep: 1880 | step: 94000 | avg reward: 5.2 | avg ep length: 50.0
is pre training: False | ep: 1890 | step: 94500 | avg reward: 3.9 | avg ep length: 50.0
is pre training: False | ep: 1900 | step: 95000 | avg reward: 6.0 | avg ep length: 50.0
is pre training: False | ep: 1910 | step: 95500 | avg reward: 5.4 | avg ep length: 50.0
is pre training: False | ep: 1920 | step: 96000 | avg reward: 4.8 | avg ep length: 50.0
is pre training: False | ep: 1930 | step: 96500 | avg reward: 6.6 | avg ep length: 50.0
is pre training: False | ep: 1940 | step: 97000 | avg reward: 6.2 | avg ep length: 50.0
is pre training: False | ep: 1950 | step: 97500 | avg reward: 4.3 | avg ep length: 50.0
is pre training: False | ep: 1960 | step: 98000 | avg reward: 4.4 | avg ep length: 50.0
is pre training: False | ep: 1970 | step: 98500 | avg reward: 4.8 | avg ep length: 50.0
is pre training: False | ep: 1980 | step: 99000 | avg reward: 6.5 | avg ep length: 50.0
is pre training: False | ep: 1990 | step: 99500 | avg reward: 6.2 | avg ep length: 50.0
is pre training: False | ep: 2000 | step: 100000 | avg reward: 5.5 | avg ep length: 50.0
Saved current model!
is pre training: False | ep: 2010 | step: 100500 | avg reward: 6.9 | avg ep length: 50.0
is pre training: False | ep: 2020 | step: 101000 | avg reward: 5.2 | avg ep length: 50.0
is pre training: False | ep: 2030 | step: 101500 | avg reward: 6.2 | avg ep length: 50.0
is pre training: False | ep: 2040 | step: 102000 | avg reward: 5.9 | avg ep length: 50.0
is pre training: False | ep: 2050 | step: 102500 | avg reward: 6.3 | avg ep length: 50.0
is pre training: False | ep: 2060 | step: 103000 | avg reward: 6.9 | avg ep length: 50.0
is pre training: False | ep: 2070 | step: 103500 | avg reward: 5.4 | avg ep length: 50.0
is pre training: False | ep: 2080 | step: 104000 | avg reward: 5.9 | avg ep length: 50.0
is pre training: False | ep: 2090 | step: 104500 | avg reward: 6.9 | avg ep length: 50.0
is pre training: False | ep: 2100 | step: 105000 | avg reward: 6.8 | avg ep length: 50.0
is pre training: False | ep: 2110 | step: 105500 | avg reward: 5.6 | avg ep length: 50.0
is pre training: False | ep: 2120 | step: 106000 | avg reward: 6.7 | avg ep length: 50.0
is pre training: False | ep: 2130 | step: 106500 | avg reward: 7.5 | avg ep length: 50.0
is pre training: False | ep: 2140 | step: 107000 | avg reward: 6.5 | avg ep length: 50.0
is pre training: False | ep: 2150 | step: 107500 | avg reward: 6.9 | avg ep length: 50.0
is pre training: False | ep: 2160 | step: 108000 | avg reward: 7.3 | avg ep length: 50.0
is pre training: False | ep: 2170 | step: 108500 | avg reward: 6.7 | avg ep length: 50.0
is pre training: False | ep: 2180 | step: 109000 | avg reward: 7.8 | avg ep length: 50.0
is pre training: False | ep: 2190 | step: 109500 | avg reward: 7.4 | avg ep length: 50.0
is pre training: False | ep: 2200 | step: 110000 | avg reward: 9.0 | avg ep length: 50.0
is pre training: False | ep: 2210 | step: 110500 | avg reward: 7.7 | avg ep length: 50.0
is pre training: False | ep: 2220 | step: 111000 | avg reward: 9.0 | avg ep length: 50.0
is pre training: False | ep: 2230 | step: 111500 | avg reward: 6.4 | avg ep length: 50.0
is pre training: False | ep: 2240 | step: 112000 | avg reward: 6.8 | avg ep length: 50.0
is pre training: False | ep: 2250 | step: 112500 | avg reward: 8.1 | avg ep length: 50.0
is pre training: False | ep: 2260 | step: 113000 | avg reward: 7.5 | avg ep length: 50.0
is pre training: False | ep: 2270 | step: 113500 | avg reward: 6.5 | avg ep length: 50.0
is pre training: False | ep: 2280 | step: 114000 | avg reward: 7.4 | avg ep length: 50.0
is pre training: False | ep: 2290 | step: 114500 | avg reward: 9.2 | avg ep length: 50.0
is pre training: False | ep: 2300 | step: 115000 | avg reward: 7.8 | avg ep length: 50.0
is pre training: False | ep: 2310 | step: 115500 | avg reward: 7.0 | avg ep length: 50.0
is pre training: False | ep: 2320 | step: 116000 | avg reward: 8.5 | avg ep length: 50.0
is pre training: False | ep: 2330 | step: 116500 | avg reward: 9.1 | avg ep length: 50.0
is pre training: False | ep: 2340 | step: 117000 | avg reward: 8.4 | avg ep length: 50.0
is pre training: False | ep: 2350 | step: 117500 | avg reward: 7.9 | avg ep length: 50.0
is pre training: False | ep: 2360 | step: 118000 | avg reward: 8.8 | avg ep length: 50.0
is pre training: False | ep: 2370 | step: 118500 | avg reward: 8.6 | avg ep length: 50.0
is pre training: False | ep: 2380 | step: 119000 | avg reward: 9.5 | avg ep length: 50.0
is pre training: False | ep: 2390 | step: 119500 | avg reward: 8.5 | avg ep length: 50.0
is pre training: False | ep: 2400 | step: 120000 | avg reward: 10.5 | avg ep length: 50.0
is pre training: False | ep: 2410 | step: 120500 | avg reward: 12.5 | avg ep length: 50.0
is pre training: False | ep: 2420 | step: 121000 | avg reward: 9.2 | avg ep length: 50.0
is pre training: False | ep: 2430 | step: 121500 | avg reward: 8.6 | avg ep length: 50.0
is pre training: False | ep: 2440 | step: 122000 | avg reward: 8.6 | avg ep length: 50.0
is pre training: False | ep: 2450 | step: 122500 | avg reward: 9.6 | avg ep length: 50.0
is pre training: False | ep: 2460 | step: 123000 | avg reward: 8.8 | avg ep length: 50.0
is pre training: False | ep: 2470 | step: 123500 | avg reward: 7.3 | avg ep length: 50.0
is pre training: False | ep: 2480 | step: 124000 | avg reward: 10.7 | avg ep length: 50.0
is pre training: False | ep: 2490 | step: 124500 | avg reward: 9.5 | avg ep length: 50.0
is pre training: False | ep: 2500 | step: 125000 | avg reward: 9.9 | avg ep length: 50.0
is pre training: False | ep: 2510 | step: 125500 | avg reward: 8.5 | avg ep length: 50.0
is pre training: False | ep: 2520 | step: 126000 | avg reward: 9.3 | avg ep length: 50.0
is pre training: False | ep: 2530 | step: 126500 | avg reward: 8.7 | avg ep length: 50.0
is pre training: False | ep: 2540 | step: 127000 | avg reward: 8.5 | avg ep length: 50.0
is pre training: False | ep: 2550 | step: 127500 | avg reward: 9.7 | avg ep length: 50.0
is pre training: False | ep: 2560 | step: 128000 | avg reward: 8.1 | avg ep length: 50.0
is pre training: False | ep: 2570 | step: 128500 | avg reward: 9.3 | avg ep length: 50.0
is pre training: False | ep: 2580 | step: 129000 | avg reward: 10.0 | avg ep length: 50.0
is pre training: False | ep: 2590 | step: 129500 | avg reward: 11.3 | avg ep length: 50.0
is pre training: False | ep: 2600 | step: 130000 | avg reward: 9.7 | avg ep length: 50.0
is pre training: False | ep: 2610 | step: 130500 | avg reward: 10.1 | avg ep length: 50.0
is pre training: False | ep: 2620 | step: 131000 | avg reward: 9.3 | avg ep length: 50.0
is pre training: False | ep: 2630 | step: 131500 | avg reward: 10.0 | avg ep length: 50.0
is pre training: False | ep: 2640 | step: 132000 | avg reward: 11.0 | avg ep length: 50.0
is pre training: False | ep: 2650 | step: 132500 | avg reward: 11.9 | avg ep length: 50.0
is pre training: False | ep: 2660 | step: 133000 | avg reward: 10.6 | avg ep length: 50.0
is pre training: False | ep: 2670 | step: 133500 | avg reward: 10.6 | avg ep length: 50.0
is pre training: False | ep: 2680 | step: 134000 | avg reward: 7.0 | avg ep length: 50.0
is pre training: False | ep: 2690 | step: 134500 | avg reward: 9.9 | avg ep length: 50.0
is pre training: False | ep: 2700 | step: 135000 | avg reward: 10.4 | avg ep length: 50.0
is pre training: False | ep: 2710 | step: 135500 | avg reward: 10.3 | avg ep length: 50.0
is pre training: False | ep: 2720 | step: 136000 | avg reward: 9.8 | avg ep length: 50.0
is pre training: False | ep: 2730 | step: 136500 | avg reward: 11.5 | avg ep length: 50.0
is pre training: False | ep: 2740 | step: 137000 | avg reward: 9.9 | avg ep length: 50.0
is pre training: False | ep: 2750 | step: 137500 | avg reward: 11.8 | avg ep length: 50.0
is pre training: False | ep: 2760 | step: 138000 | avg reward: 11.5 | avg ep length: 50.0
is pre training: False | ep: 2770 | step: 138500 | avg reward: 11.7 | avg ep length: 50.0
is pre training: False | ep: 2780 | step: 139000 | avg reward: 10.6 | avg ep length: 50.0
is pre training: False | ep: 2790 | step: 139500 | avg reward: 9.9 | avg ep length: 50.0
is pre training: False | ep: 2800 | step: 140000 | avg reward: 11.8 | avg ep length: 50.0
is pre training: False | ep: 2810 | step: 140500 | avg reward: 10.1 | avg ep length: 50.0
is pre training: False | ep: 2820 | step: 141000 | avg reward: 10.9 | avg ep length: 50.0
is pre training: False | ep: 2830 | step: 141500 | avg reward: 10.8 | avg ep length: 50.0
is pre training: False | ep: 2840 | step: 142000 | avg reward: 11.8 | avg ep length: 50.0
is pre training: False | ep: 2850 | step: 142500 | avg reward: 9.4 | avg ep length: 50.0
is pre training: False | ep: 2860 | step: 143000 | avg reward: 11.6 | avg ep length: 50.0
is pre training: False | ep: 2870 | step: 143500 | avg reward: 13.3 | avg ep length: 50.0
is pre training: False | ep: 2880 | step: 144000 | avg reward: 11.0 | avg ep length: 50.0
is pre training: False | ep: 2890 | step: 144500 | avg reward: 8.0 | avg ep length: 50.0
is pre training: False | ep: 2900 | step: 145000 | avg reward: 8.8 | avg ep length: 50.0
is pre training: False | ep: 2910 | step: 145500 | avg reward: 9.8 | avg ep length: 50.0
is pre training: False | ep: 2920 | step: 146000 | avg reward: 10.1 | avg ep length: 50.0
is pre training: False | ep: 2930 | step: 146500 | avg reward: 11.7 | avg ep length: 50.0
is pre training: False | ep: 2940 | step: 147000 | avg reward: 10.2 | avg ep length: 50.0
is pre training: False | ep: 2950 | step: 147500 | avg reward: 9.5 | avg ep length: 50.0
is pre training: False | ep: 2960 | step: 148000 | avg reward: 11.3 | avg ep length: 50.0
is pre training: False | ep: 2970 | step: 148500 | avg reward: 10.5 | avg ep length: 50.0
is pre training: False | ep: 2980 | step: 149000 | avg reward: 11.3 | avg ep length: 50.0
is pre training: False | ep: 2990 | step: 149500 | avg reward: 8.9 | avg ep length: 50.0
is pre training: False | ep: 3000 | step: 150000 | avg reward: 10.5 | avg ep length: 50.0
Saved current model!
Saved final model!
Total time: 2:16:02.560303
Ended training.
